,lables
0,0
1,4
2,1
3,9
4,2
5,1
6,3
7,1
8,4
9,3
10,5
11,3
12,6
13,1
14,7
15,2
16,8
17,6
18,9
19,4
20,0
21,9
22,1
23,1
24,2
25,4
26,3
27,2
28,7
29,3
30,8
31,6
32,9
33,0
34,5
35,6
36,0
37,7
38,6
39,1
40,8
41,7
42,9
43,3
44,9
45,8
46,5
47,9
48,3
49,3
50,0
51,7
52,4
53,9
54,8
55,0
56,9
57,4
58,1
59,4
60,4
61,6
62,0
63,4
64,5
65,6
66,1
67,0
68,0
69,1
70,7
71,1
72,6
73,3
74,0
75,2
76,1
77,1
78,7
79,9
80,0
81,2
82,6
83,7
84,8
85,3
86,9
87,0
88,4
89,6
90,7
91,4
92,6
93,8
94,0
95,7
96,8
97,3
98,1
99,5
100,7
101,1
102,7
103,1
104,1
105,6
106,3
107,0
108,2
109,9
110,3
111,1
112,1
113,0
114,4
115,9
116,2
117,0
118,0
119,2
120,0
121,2
122,7
123,1
124,8
125,6
126,4
127,1
128,6
129,3
130,4
131,5
132,9
133,1
134,3
135,3
136,8
137,5
138,4
139,7
140,7
141,4
142,2
143,8
144,5
145,8
146,6
147,7
148,3
149,4
150,6
151,1
152,9
153,9
154,6
155,0
156,3
157,7
158,2
159,8
160,2
161,9
162,4
163,4
164,6
165,4
166,9
167,7
168,0
169,9
170,2
171,9
172,5
173,1
174,5
175,9
176,1
177,2
178,3
179,2
180,3
181,5
182,9
183,1
184,7
185,6
186,2
187,8
188,2
189,2
190,5
191,0
192,7
193,4
194,9
195,7
196,8
197,3
198,2
199,1
200,1
201,8
202,3
203,6
204,1
205,0
206,3
207,1
208,0
209,0
210,1
211,7
212,2
213,7
214,3
215,0
216,4
217,6
218,5
219,2
220,6
221,4
222,7
223,1
224,8
225,9
226,9
227,3
228,0
229,7
230,1
231,0
232,2
233,0
234,3
235,5
236,4
237,6
238,5
239,8
240,6
241,3
242,7
243,5
244,8
245,0
246,9
247,1
248,0
249,3
250,1
251,2
252,2
253,3
254,3
255,6
256,4
257,7
258,5
259,0
260,6
261,2
262,7
263,9
264,8
265,5
266,9
267,2
268,1
269,1
270,4
271,4
272,5
273,6
274,4
275,1
276,2
277,5
278,3
279,9
280,3
281,9
282,0
283,5
284,9
285,6
286,5
287,7
288,4
289,1
290,3
291,4
292,0
293,4
294,8
295,0
296,4
297,3
298,6
299,8
300,7
301,6
302,0
303,9
304,7
305,5
306,7
307,2
308,1
309,1
310,6
311,8
312,9
313,4
314,1
315,5
316,2
317,2
318,9
319,0
320,3
321,9
322,6
323,7
324,2
325,0
326,3
327,5
328,4
329,3
330,6
331,5
332,8
333,9
334,5
335,4
336,7
337,4
338,2
339,7
340,3
341,4
342,8
343,9
344,1
345,9
346,2
347,8
348,7
349,9
350,1
351,8
352,7
353,4
354,1
355,3
356,1
357,1
358,0
359,2
360,3
361,9
362,4
363,9
364,2
365,1
366,6
367,8
368,4
369,7
370,7
371,4
372,4
373,9
374,2
375,5
376,7
377,2
378,4
379,4
380,2
381,1
382,9
383,7
384,2
385,8
386,7
387,6
388,9
389,2
390,2
391,3
392,8
393,1
394,6
395,5
396,1
397,1
398,0
399,2
400,6
401,4
402,5
403,8
404,3
405,1
406,5
407,1
408,9
409,2
410,7
411,4
412,4
413,4
414,8
415,1
416,5
417,8
418,9
419,5
420,6
421,7
422,9
423,9
424,3
425,7
426,0
427,9
428,0
429,6
430,6
431,2
432,3
433,9
434,0
435,7
436,5
437,4
438,8
439,0
440,9
441,4
442,1
443,2
444,8
445,7
446,1
447,2
448,6
449,1
450,0
451,3
452,0
453,1
454,1
455,8
456,2
457,0
458,3
459,9
460,4
461,0
462,5
463,0
464,6
465,1
466,7
467,7
468,8
469,1
470,9
471,2
472,0
473,5
474,1
475,2
476,2
477,7
478,3
479,5
480,4
481,9
482,7
483,1
484,8
485,3
486,9
487,6
488,0
489,3
490,1
491,1
492,2
493,6
494,3
495,5
496,7
497,6
498,8
499,3
500,9
501,5
502,8
503,5
504,7
505,6
506,1
507,1
508,3
509,1
510,7
511,5
512,5
513,5
514,2
515,5
516,8
517,7
518,0
519,9
520,7
521,7
522,5
523,0
524,9
525,0
526,0
527,8
528,9
529,2
530,4
531,8
532,1
533,6
534,1
535,6
536,5
537,1
538,8
539,3
540,4
541,0
542,5
543,5
544,8
545,3
546,6
547,2
548,3
549,9
550,2
551,1
552,1
553,5
554,2
555,1
556,3
557,2
558,8
559,7
560,3
561,7
562,2
563,4
564,6
565,9
566,7
567,2
568,4
569,2
570,8
571,1
572,1
573,3
574,8
575,4
576,0
577,6
578,5
579,9
580,3
581,0
582,9
583,2
584,4
585,7
586,1
587,2
588,9
589,4
590,2
591,6
592,1
593,8
594,9
595,0
596,6
597,6
598,7
599,9
600,9
601,8
602,0
603,1
604,4
605,4
606,6
